Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
19	HUNGER	3,004999	4,08255	41	37	5,671497	45	49	SEARCHINGFOOD	18	35
19	HUNGER	3,504999	6,732497	44	33	5,566702	59	45	MOVING	17	31
19	HUNGER	3,504999	6,853097	40	42	4,744617	68	45	SEARCHINGFOOD	19	33
19	HUNGER	2,004999	3,451499	52	42	6,072317	48	30	SEARCHINGFOOD	20	25
19	HUNGER	2,004999	3,363173	44	40	6,068267	54	35	SEARCHINGFOOD	22	26
19	HUNGER	2,004999	3,337831	50	35	6,706213	49	35	SEARCHINGFOOD	20	27
19	HUNGER	2,004999	3,801327	48	35	5,624466	46	32	SEARCHINGFOOD	23	26
19	HUNGER	2,504999	8,11312	59	36	4,791952	50	36	MOVING	16	31
19	HUNGER	2,004999	3,803815	46	38	6,158442	52	34	SEARCHINGFOOD	21	27
19	DROWN	0,2699999	9,733677	40	29	4,849838	44	42	SEARCHINGFOOD	16	32
19	HUNGER	2,504999	7,662432	65	43	4,441309	42	33	SEARCHINGFOOD	15	32
19	HUNGER	3,504999	6,04873	48	35	5,690973	58	45	SEARCHINGFOOD	18	33
20	HUNGER	3,004999	3,612435	37	37	5,420181	51	47	SEARCHINGFOOD	18	35
20	HUNGER	3,504999	5,770119	47	35	4,976429	51	45	SEARCHINGFOOD	17	31
20	HUNGER	2,004999	4,741137	67	42	5,694433	42	49	SEARCHINGFOOD	17	32
20	HUNGER	2,004999	4,941296	63	44	5,364715	45	44	SEARCHINGFOOD	16	33
20	HUNGER	2,004999	5,082223	68	46	5,415617	48	49	SEARCHINGFOOD	16	30
20	HUNGER	2,004999	4,57626	63	45	5,111609	40	44	SEARCHINGFOOD	15	35
20	HUNGER	3,004999	6,054885	39	29	4,977809	94	54	SEARCHINGFOOD	17	31
20	HUNGER	3,004999	3,486283	42	41	5,605685	52	51	SEARCHINGFOOD	16	30
20	HUNGER	3,504999	8,273356	55	32	5,255907	68	48	RESTING	19	30
20	HUNGER	3,004999	6,662204	46	33	4,586568	90	46	SEARCHINGFOOD	18	27
20	HUNGER	4,004999	6,251844	44	38	5,800998	57	51	SEARCHINGFOOD	19	37
20	HUNGER	2,004999	9,302221	31	36	5,404593	32	39	SEARCHINGFOOD	24	32
20	HUNGER	2,004999	9,741696	34	36	5,37589	31	42	SEARCHINGFOOD	22	31
20	HUNGER	2,004999	6,77663	39	33	4,423815	55	57	SEARCHINGFOOD	20	29
20	HUNGER	2,004999	9,278204	34	36	4,965412	34	44	SEARCHINGFOOD	24	35
20	HUNGER	2,004999	7,477168	44	36	4,590403	53	53	SEARCHINGFOOD	21	32
20	HUNGER	2,004999	8,785102	30	35	5,13696	31	40	SEARCHINGFOOD	22	33
20	HUNGER	2,004999	9,353677	31	32	5,073584	31	44	SEARCHINGFOOD	24	32
